service	container_id	state	health
api	303f37efc7dfad4dbfb8fb9a76bdf58075afd816918f0822b693cc6d2a79862a	running	healthy
dcgm-exporter	18c0cf5cbf8de6e832c46c1b25a61fe5695feb610fb1e7abfe7af3f0b18fe52b	running	healthy
grafana	9c0258c01bae1c278f8cc159dee9f84586751527e489abe3dc464e7bf7a9e617	running	healthy
mailpit	35e575a85971e8a5ccf4a1ec0cab21616015157042801ea9ce56aacc83420c09	running	healthy
minio	0ef562bf2babdfdd1bcf7a5c38e773d91ad3124aedd3882fa449c4d5ae90fab5	running	healthy
postgres	488a92e11f0669d318f2df66da794d6e9830dedb6ada3292426c0821a2e4529c	running	healthy
prometheus	2ee1e8612c2ec72af84744480569c4400a3ffd1a7644efca55e6fede3723a9b1	running	healthy
qdrant	c6de31047f1429b7d3be380e5a4daa73a53bb006d9802b89094a55745e851a4b	running	healthy
rabbitmq	e057235c1d945dc09a981352f3dc4226bad63f8c160ea4e2409d45cde502de66	running	healthy
redis	efabb72c3de54bdf4a7c46dcd1432df818a6bdd6caf64a8543d45e33a3e1c53b	running	healthy
reverse-proxy	7582dd2330f2f0c13beff92232a840220bf500bbf03a1f0ddfa040d5e6c2d8a8	running	healthy
web	ada3335199efbabb7cfacf7deafa687b251a9c9ef63d64b68b29f66e00b2c4ce	running	healthy
worker	69456a5bc42dd72894596a81a39f7d63f58ad60937d761ec31cf06f8fdb5886e	running	healthy
