kind,scenario,request_index,concurrency,status,error_code,target_context_tokens,target_input_tokens,max_output_tokens,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,ttft_seconds,decode_duration_seconds,decode_tokens_per_second,total_latency_seconds,batch_size,passage_count,vector_dimension_observed,response_model_observed
llm,engine-short-c1,0,1,ok,,,512,256,475,256,731,0.05266026500612497,10.366169778993935,24.695717459573142,10.418956348003121,,,,meta/llama-3.1-8b-instruct
llm,engine-short-c1,1,1,ok,,,512,256,475,256,731,0.05319586899713613,10.023839019995648,25.539117247326978,10.077138458000263,,,,meta/llama-3.1-8b-instruct
llm,engine-short-c1,2,1,ok,,,512,256,475,256,731,0.05049614800373092,10.020919579998008,25.546557674305863,10.071524144004798,,,,meta/llama-3.1-8b-instruct
llm,engine-short-c1,3,1,ok,,,512,256,475,256,731,0.052491611990262754,10.054846508006449,25.460358822598927,10.107493447998422,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,0,1,ok,,,8192,512,8166,512,8678,0.07554765199893154,22.37198801500199,22.8857623049265,22.447647954992135,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,1,1,ok,,,8192,512,8166,512,8678,0.07699049399525393,22.380277211006614,22.877285887602792,22.45737519300019,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,2,1,ok,,,8192,512,8166,512,8678,0.07663303999288473,22.37341708999884,22.884300504497794,22.450198002989055,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,3,1,ok,,,8192,512,8166,512,8678,0.07852840999839827,22.371511667006416,22.886249602663167,22.450204142005532,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,0,4,ok,,,8192,512,8166,512,8678,0.17586485799984075,24.28692455300188,21.08130236426812,24.462913939001737,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,1,4,ok,,,8192,512,8166,512,8678,0.11588793800910935,24.304847244988196,21.065756753751145,24.421159392004483,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,2,4,ok,,,8192,512,8166,512,8678,0.17417709100118373,24.28732160999789,21.080957720312597,24.46165767799539,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,3,4,ok,,,8192,512,8166,512,8678,0.11510727800487075,24.305298701990978,21.065365469384638,24.420557436998934,,,,meta/llama-3.1-8b-instruct
