kind,scenario,request_index,concurrency,status,error_code,target_context_tokens,target_input_tokens,max_output_tokens,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,ttft_seconds,decode_duration_seconds,decode_tokens_per_second,total_latency_seconds,batch_size,passage_count,vector_dimension_observed,response_model_observed
llm,engine-short-c1,0,1,ok,,,512,256,449,256,705,0.11821430099371355,9.43974636400526,27.11937271706312,9.55808533700474,,,,nvidia/nemotron-nano-9b-v2
llm,engine-short-c1,1,1,ok,,,512,256,449,256,705,0.11739583399321418,9.430011768010445,27.147368030698775,9.547524195004371,,,,nvidia/nemotron-nano-9b-v2
llm,engine-short-c1,2,1,ok,,,512,256,449,256,705,0.11830019199987873,9.429466855013743,27.14893683134187,9.548022168004536,,,,nvidia/nemotron-nano-9b-v2
llm,engine-short-c1,3,1,ok,,,512,256,449,256,705,0.12079386800178327,9.427927857992472,27.15336857218073,9.54883830199833,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,0,1,ok,,,8192,512,8140,512,8652,1.911778512003366,19.259664907003753,26.584055458504466,21.17156887501187,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,1,1,ok,,,8192,512,8140,512,8652,1.915898566992837,19.25914419699984,26.584774212332785,21.175169132999144,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,2,1,ok,,,8192,512,8140,512,8652,1.9147806960099842,19.218204497999977,26.641406592030147,21.133096906007268,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,3,1,ok,,,8192,512,8140,512,8652,1.918403739007772,19.262110715993913,26.580679944637165,21.18068224801391,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,0,4,ok,,,8192,512,8140,512,8652,2.848683192001772,27.93338439699437,18.329322101588634,30.78240266200737,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,1,4,ok,,,8192,512,8140,512,8652,9.676904277002905,21.56868757698976,23.73811564437605,31.245705358000123,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,2,4,ok,,,8192,512,8140,512,8652,5.754453375993762,25.187082429998554,20.327880429302642,30.94173521499033,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,3,4,ok,,,8192,512,8140,512,8652,7.694641876994865,23.399733188009122,21.88059136769848,31.09466572200472,,,,nvidia/nemotron-nano-9b-v2
