kind,scenario,request_index,concurrency,status,error_code,target_context_tokens,target_input_tokens,max_output_tokens,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,ttft_seconds,decode_duration_seconds,decode_tokens_per_second,total_latency_seconds,batch_size,passage_count,vector_dimension_observed,response_model_observed
llm,engine-short-c1,0,1,ok,,,512,256,521,256,777,0.0772623099910561,10.110590133001097,25.319985938744832,10.18801576999249,,,,meta/llama-3.1-8b-instruct
llm,engine-short-c1,1,1,ok,,,512,256,519,256,775,0.07729241100605577,10.151022234989796,25.219134986975757,10.22846546198707,,,,meta/llama-3.1-8b-instruct
llm,engine-short-c1,2,1,ok,,,512,256,515,256,771,0.07621988901519217,10.12885465400177,25.2743285144148,10.205227038997691,,,,meta/llama-3.1-8b-instruct
llm,engine-short-c1,3,1,ok,,,512,256,519,256,775,0.07622529999935068,10.190898411994567,25.120454512498235,10.267279568011872,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,0,1,ok,,,8192,512,8210,512,8722,1.2349149999790825,22.51068694202695,22.744752362226112,23.745753428986063,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,1,1,ok,,,8192,512,8206,512,8718,1.2383070729847532,22.490052244014805,22.76562074844698,23.728473875991767,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,2,1,ok,,,8192,512,8211,512,8723,1.232229877001373,22.50724595299107,22.748229662099483,23.739578181994148,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c1,3,1,ok,,,8192,512,8209,512,8721,1.2326231750193983,22.51834717899328,22.73701510729127,23.751189778005937,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,0,4,ok,,,8192,512,8211,512,8723,2.489677056990331,30.82410055398941,16.61037924215227,33.314082714990946,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,1,4,ok,,,8192,512,8210,512,8722,3.7337204409996048,29.766947533003986,17.20028563332945,33.50102989398874,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,2,4,ok,,,8192,512,8212,512,8724,5.000855591992149,28.67420431599021,17.85577009767216,33.67516610000166,,,,meta/llama-3.1-8b-instruct
llm,rag-8k-c4,3,4,ok,,,8192,512,8208,512,8720,1.2668327979918104,31.839170475985156,16.08082096190849,33.10653572098818,,,,meta/llama-3.1-8b-instruct
