kind,scenario,request_index,concurrency,status,error_code,target_context_tokens,target_input_tokens,max_output_tokens,prompt_tokens_actual,completion_tokens_actual,total_tokens_actual,ttft_seconds,decode_duration_seconds,decode_tokens_per_second,total_latency_seconds,batch_size,passage_count,vector_dimension_observed,response_model_observed
llm,engine-short-c1,0,1,ok,,,512,256,519,256,775,0.1352594299823977,9.506911697011674,26.92777719608661,9.64236867899308,,,,nvidia/nemotron-nano-9b-v2
llm,engine-short-c1,1,1,ok,,,512,256,511,256,767,0.12962796501233242,9.538047430978622,26.839874917012644,9.667810068000108,,,,nvidia/nemotron-nano-9b-v2
llm,engine-short-c1,2,1,ok,,,512,256,509,256,765,0.12651272199582309,10.238933129003271,25.00260493691893,10.365576395008247,,,,nvidia/nemotron-nano-9b-v2
llm,engine-short-c1,3,1,ok,,,512,256,513,256,769,0.13326715299626812,9.500175741995918,26.946869926662668,9.633567134995246,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,0,1,ok,,,8192,512,8207,512,8719,1.9642312920186669,19.372819092997815,26.428781352996747,21.337169553007698,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,1,1,ok,,,8192,512,8203,512,8715,1.9702937840193044,19.389967789989896,26.40540745324605,21.36048914201092,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,2,1,ok,,,8192,512,8206,512,8718,1.970474436006043,19.393723135988694,26.40029438441801,21.36432041999069,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c1,3,1,ok,,,8192,512,8201,512,8713,1.96651844799635,19.370710638992023,26.431658060565738,21.337396094982978,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,0,4,ok,,,8192,512,8201,512,8713,3.25856662998558,28.27962808602024,18.104905709601685,31.53891119599575,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,1,4,ok,,,8192,512,8207,512,8719,6.927078786015045,24.770820973993978,20.669480455957878,31.69816465600161,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,2,4,ok,,,8192,512,8206,512,8718,10.383846026001265,21.618210386979626,23.683736573697658,32.00225599700934,,,,nvidia/nemotron-nano-9b-v2
llm,rag-8k-c4,3,4,ok,,,8192,512,8200,512,8712,8.866212891996838,22.98460858600447,22.275776334592937,31.85116034199018,,,,nvidia/nemotron-nano-9b-v2
